LOT_ID,EQUIPMENT_CODE,TRAN_TIME,INSP_VERSION,INSP_ITEM_SEQ,VALUE_SEQ,PLANT_CODE,SHOP_CODE,LINE_CODE,DEPARTMENT,CUSTOMER_CODE,PRODUCT_CODE,FLOW_CODE,OPERATION_CODE,STEP_CODE,INSP_ITEM_CODE,INSP_ITEM_NAME,INSP_ITEM_TYPE,VALUE_COUNT,VALUE_TYPE,SPEC_TYPE,TARGET_VALUE,SPEC_MIN_VALUE,SPEC_MAX_VALUE,CTRL_MIN_VALUE,CTRL_MAX_VALUE,SPEC_UNIT,INSP_CONDITION_1,INSP_CONDITION_2,ABNORMAL_FLAG,INSP_VALUE,SPEC_MASK,FINAL_RESULT,SPC_CHART_CODE,SUPER_PASS_FLAG,INSP_UDF_1,INSP_UDF_2,INSP_UDF_3,INSP_UDF_4,INSP_UDF_5,INSP_UDF_6,INSP_UDF_7,INSP_UDF_8,INSP_UDF_9,INSP_UDF_10,INSP_UDF_11,INSP_UDF_12,INSP_UDF_13,INSP_UDF_14,INSP_UDF_15,INSP_UDF_16,INSP_UDF_17,INSP_UDF_18,INSP_UDF_19,INSP_UDF_20
GI375P1900260518K3BPA0000182,BS01-055-01,20260522205500,1,7,7,1216,-,BS01,,,GI375P1900,GI375P1900,BS055,,,LH 4 평균값,,,,B,5.95,3.9,8,,,mm,,,Y,5.403,3.9 ~ 8,OK,,,0,0,0,0,0,,,,,,,,,,,,,,20260522205541,20260522205630
GI375P1900260518K3BPA0000182,BS01-055-01,20260522205500,1,8,8,1216,-,BS01,,,GI375P1900,GI375P1900,BS055,,,RH 4 평균값,,,,B,5.95,3.9,8,,,mm,,,Y,5.574,3.9 ~ 8,OK,,,0,0,0,0,0,,,,,,,,,,,,,,20260522205541,20260522205630
GI375P1900260518K2BPA0000071,BS01-050-01,20260522205519,1,25,25,1216,,BS01,,,GI375P1900,GI375P1900,BS050,BS-050-001,,LH 실제 토출량 #4-1,,0,0,B,,0.00,0.00,,,,,,,47.53,,OK,,,,,,,,,,,,,,,,,,,,,,
GI375P1900260518K2BPA0000071,BS01-050-01,20260522205519,1,26,26,1216,,BS01,,,GI375P1900,GI375P1900,BS050,BS-050-001,,LH 실제 토출량 #4-2,,0,0,B,,0.00,0.00,,,,,,,194.54,,OK,,,,,,,,,,,,,,,,,,,,,,
GI375P1900260518K2BPA0000071,BS01-050-01,20260522205519,1,27,27,1216,,BS01,,,GI375P1900,GI375P1900,BS050,BS-050-001,,LH 실제 토출량 #4-3,,0,0,B,,0.00,0.00,,,,,,,186.93,,OK,,,,,,,,,,,,,,,,,,,,,,
GI375P1900260518K2BPA0000071,BS01-050-01,20260522205519,1,28,28,1216,,BS01,,,GI375P1900,GI375P1900,BS050,BS-050-001,,LH 실제 토출량 #4-4,,0,0,B,,0.00,0.00,,,,,,,172.11,,OK,,,,,,,,,,,,,,,,,,,,,,
GI375P1900260518K2BPA0000071,BS01-050-01,20260522205519,1,29,29,1216,,BS01,,,GI375P1900,GI375P1900,BS050,BS-050-001,,LH 실제 토출량 #4-5,,0,0,B,,0.00,0.00,,,,,,,174.54,,OK,,,,,,,,,,,,,,,,,,,,,,
GI375P1900260518K2BPA0000071,BS01-050-01,20260522205519,1,32,32,1216,,BS01,,,GI375P1900,GI375P1900,BS050,BS-050-001,,LH 실제 토출량 #4-총 수량,,0,0,B,,0.00,0.00,,,,,,,775.65,,OK,,,,,,,,,,,,,,,,,,,,,,
GI375P1900260518K2BPA0000071,BS01-050-01,20260522205519,1,33,33,1216,,BS01,,,GI375P1900,GI375P1900,BS050,BS-050-001,,RH 실제 토출량 #1-1,,0,0,B,,0.00,0.00,,,,,,,46.74,,OK,,,,,,,,,,,,,,,,,,,,,,
GI375P1900260518K2BPA0000071,BS01-050-01,20260522205519,1,34,34,1216,,BS01,,,GI375P1900,GI375P1900,BS050,BS-050-001,,RH 실제 토출량 #1-2,,0,0,B,,0.00,0.00,,,,,,,198.30,,OK,,,,,,,,,,,,,,,,,,,,,,
