LOT_ID,EQUIPMENT_CODE,TRAN_TIME,INSP_VERSION,INSP_ITEM_SEQ,VALUE_SEQ,PLANT_CODE,SHOP_CODE,LINE_CODE,DEPARTMENT,CUSTOMER_CODE,PRODUCT_CODE,FLOW_CODE,OPERATION_CODE,STEP_CODE,INSP_ITEM_CODE,INSP_ITEM_NAME,INSP_ITEM_TYPE,VALUE_COUNT,VALUE_TYPE,SPEC_TYPE,TARGET_VALUE,SPEC_MIN_VALUE,SPEC_MAX_VALUE,CTRL_MIN_VALUE,CTRL_MAX_VALUE,SPEC_UNIT,INSP_CONDITION_1,INSP_CONDITION_2,ABNORMAL_FLAG,INSP_VALUE,SPEC_MASK,FINAL_RESULT,SPC_CHART_CODE,SUPER_PASS_FLAG,INSP_UDF_1,INSP_UDF_2,INSP_UDF_3,INSP_UDF_4,INSP_UDF_5,INSP_UDF_6,INSP_UDF_7,INSP_UDF_8,INSP_UDF_9,INSP_UDF_10,INSP_UDF_11,INSP_UDF_12,INSP_UDF_13,INSP_UDF_14,INSP_UDF_15,INSP_UDF_16,INSP_UDF_17,INSP_UDF_18,INSP_UDF_19,INSP_UDF_20
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,2,2,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값2,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,3,3,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값3,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,4,4,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값4,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,5,5,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값5,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,6,6,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값6,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,7,7,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값7,,0,,B,,1,9999,,,㏁,,,,0377,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,8,8,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값8,,0,,B,,1,9999,,,㏁,,,,0374,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,9,9,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값9,,0,,B,,1,9999,,,㏁,,,,0310,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,10,10,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값10,,0,,B,,1,9999,,,㏁,,,,0370,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,11,11,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값11,,0,,B,,1,9999,,,㏁,,,,0300,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,12,12,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값12,,0,,B,,1,9999,,,㏁,,,,0405,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260520Y0318,BM4B-205-B1,20260520152708,1,1,1,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값1,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A1NP1T260519Y0389,BM6A-205-A1,20260520064748,1,5,5,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값5,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A1NP1T260519Y0389,BM6A-205-A1,20260520064748,1,6,6,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값6,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A1NP1T260519Y0389,BM6A-205-A1,20260520064748,1,7,7,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값7,,0,,B,,1,9999,,,㏁,,,,0434,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A1NP1T260519Y0389,BM6A-205-A1,20260520064748,1,8,8,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값8,,0,,B,,1,9999,,,㏁,,,,0378,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A1NP1T260519Y0389,BM6A-205-A1,20260520064748,1,9,9,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값9,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A1NP1T260519Y0389,BM6A-205-A1,20260520064748,1,10,10,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값10,,0,,B,,1,9999,,,㏁,,,,0326,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A1NP1T260519Y0389,BM6A-205-A1,20260520064748,1,11,11,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값11,,0,,B,,1,9999,,,㏁,,,,0211,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A1NP1T260519Y0389,BM6A-205-A1,20260520064748,1,12,12,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값12,,0,,B,,1,9999,,,㏁,,,,0437,,OK,,,,,,,,,,,,,,,,,,,,,,
BM6A2NP1T260519Y0389,BM6A-205-A1,20260520064812,1,2,2,1216,,BM6A,,,GI37512900,BM06-A,BM205,BM-205-001,,검사값2,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
