LOT_ID,EQUIPMENT_CODE,TRAN_TIME,INSP_VERSION,INSP_ITEM_SEQ,VALUE_SEQ,PLANT_CODE,SHOP_CODE,LINE_CODE,DEPARTMENT,CUSTOMER_CODE,PRODUCT_CODE,FLOW_CODE,OPERATION_CODE,STEP_CODE,INSP_ITEM_CODE,INSP_ITEM_NAME,INSP_ITEM_TYPE,VALUE_COUNT,VALUE_TYPE,SPEC_TYPE,TARGET_VALUE,SPEC_MIN_VALUE,SPEC_MAX_VALUE,CTRL_MIN_VALUE,CTRL_MAX_VALUE,SPEC_UNIT,INSP_CONDITION_1,INSP_CONDITION_2,ABNORMAL_FLAG,INSP_VALUE,SPEC_MASK,FINAL_RESULT,SPC_CHART_CODE,SUPER_PASS_FLAG,INSP_UDF_1,INSP_UDF_2,INSP_UDF_3,INSP_UDF_4,INSP_UDF_5,INSP_UDF_6,INSP_UDF_7,INSP_UDF_8,INSP_UDF_9,INSP_UDF_10,INSP_UDF_11,INSP_UDF_12,INSP_UDF_13,INSP_UDF_14,INSP_UDF_15,INSP_UDF_16,INSP_UDF_17,INSP_UDF_18,INSP_UDF_19,INSP_UDF_20
BM5B5NP1T260529Y0777,BM5B-205-B1,20260530000643,1,9,9,1216,,BM5B,,,GI37512900,BM05-B,BM205,BM-205-001,,검사값9,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM5B5NP1T260529Y0777,BM5B-205-B1,20260530000643,1,10,10,1216,,BM5B,,,GI37512900,BM05-B,BM205,BM-205-001,,검사값10,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM5B5NP1T260529Y0777,BM5B-205-B1,20260530000643,1,11,11,1216,,BM5B,,,GI37512900,BM05-B,BM205,BM-205-001,,검사값11,,0,,B,,1,9999,,,㏁,,,,0317,,OK,,,,,,,,,,,,,,,,,,,,,,
BM5B5NP1T260529Y0777,BM5B-205-B1,20260530000643,1,12,12,1216,,BM5B,,,GI37512900,BM05-B,BM205,BM-205-001,,검사값12,,0,,B,,1,9999,,,㏁,,,,0523,,OK,,,,,,,,,,,,,,,,,,,,,,
BM5B5NP1T260529Y0777,BM5B-205-B1,20260530000643,1,4,4,1216,,BM5B,,,GI37512900,BM05-B,BM205,BM-205-001,,검사값4,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0773,BM4B-230-B1,20260530000527,5,5,5,1216,-,BM4B,,,GI37512900,BM04-B,BM230,,SJH4,Cell 4 Voltage,,,,B,,3.793,3.833,,,V,,,Y,3.824974,3.793~3.833,OK,,,,,,,,,,,,,,,,,,,,,20260529230901,20260529230902
BM4B5NP1T260529Y0773,BM4B-230-B1,20260530000527,5,6,6,1216,-,BM4B,,,GI37512900,BM04-B,BM230,,SJH5,Cell 5 Voltage,,,,B,,3.793,3.833,,,V,,,Y,3.824587,3.793~3.833,OK,,,,,,,,,,,,,,,,,,,,,20260529230901,20260529230902
BM4B5NP1T260529Y0773,BM4B-230-B1,20260530000527,5,7,7,1216,-,BM4B,,,GI37512900,BM04-B,BM230,,SJH6,Cell 6 Voltage,,,,B,,3.793,3.833,,,V,,,Y,3.824806,3.793~3.833,OK,,,,,,,,,,,,,,,,,,,,,20260529230901,20260529230902
BM4B5NP1T260529Y0773,BM4B-230-B1,20260530000527,5,8,8,1216,-,BM4B,,,GI37512900,BM04-B,BM230,,,Cell Voltage Dev,,,,B,,0,30,,,mV,,,Y,0.41240000000009,0~30,OK,,,,,,,,,,,,,,,,,,,,,20260529230901,20260529230902
BM4B5NP1T260529Y0798,BM4B-233-B1,20260530000528,2,1,1,1216,,BM4B,,,GI37512900,BM04-B,BM233,BM-233-001,약용접검사,PUSH LH 거리,,0,,B,0,-99999,99999,,,mm,,,,104.046,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0798,BM4B-233-B1,20260530000528,2,2,2,1216,,BM4B,,,GI37512900,BM04-B,BM233,BM-233-001,약용접검사,PUSH LH 하중,,0,,B,0,-99999,99999,,,kgf,,,,50.3,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0798,BM4B-233-B1,20260530000528,2,3,3,1216,,BM4B,,,GI37512900,BM04-B,BM233,BM-233-001,약용접검사,PULL LH 거리,,0,,B,0,-99999,99999,,,mm,,,,100.020,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0798,BM4B-233-B1,20260530000528,2,4,4,1216,,BM4B,,,GI37512900,BM04-B,BM233,BM-233-001,약용접검사,PULL LH 하중,,0,,B,0,-99999,99999,,,kgf,,,,- 50.2,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0798,BM4B-233-B1,20260530000528,2,5,5,1216,,BM4B,,,GI37512900,BM04-B,BM233,BM-233-001,약용접검사,PUSH RH 거리,,0,,B,0,-99999,99999,,,mm,,,,103.070,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0798,BM4B-233-B1,20260530000528,2,6,6,1216,,BM4B,,,GI37512900,BM04-B,BM233,BM-233-001,약용접검사,PUSH RH 하중,,0,,B,0,-99999,99999,,,kgf,,,,51.6,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0798,BM4B-233-B1,20260530000528,2,7,7,1216,,BM4B,,,GI37512900,BM04-B,BM233,BM-233-001,약용접검사,PULL RH 거리,,0,,B,0,-99999,99999,,,mm,,,,99.525,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0798,BM4B-233-B1,20260530000528,2,8,8,1216,,BM4B,,,GI37512900,BM04-B,BM233,BM-233-001,약용접검사,PULL RH 하중,,0,,B,0,-99999,99999,,,kgf,,,,- 50.4,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0797,BM4B-236-B1,20260530000536,2,2,2,1216,,BM4B,,,GI37512900,BM04-B,BM236,BM-236-001,평탄도검사,평탄도검사#2,,0,,B,,0,45.85,,,mm,,,,44.39,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0797,BM4B-236-B1,20260530000536,2,3,3,1216,,BM4B,,,GI37512900,BM04-B,BM236,BM-236-001,평탄도검사,센서#1 기록값,,0,,B,,-99999,99999,,,,,,,69.97,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0797,BM4B-236-B1,20260530000536,2,4,4,1216,,BM4B,,,GI37512900,BM04-B,BM236,BM-236-001,평탄도검사,센서#2 기록값,,0,,B,,-99999,99999,,,,,,,65.01,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0797,BM4B-236-B1,20260530000536,2,5,5,1216,,BM4B,,,GI37512900,BM04-B,BM236,BM-236-001,평탄도검사,"센서#1, 2 연산값",,0,,B,,-99999,99999,,,,,,,135.63,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0797,BM4B-236-B1,20260530000536,2,6,6,1216,,BM4B,,,GI37512900,BM04-B,BM236,BM-236-001,평탄도검사,센서#3 기록값,,0,,B,,-99999,99999,,,,,,,69.79,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0797,BM4B-236-B1,20260530000536,2,7,7,1216,,BM4B,,,GI37512900,BM04-B,BM236,BM-236-001,평탄도검사,센서#4 기록값,,0,,B,,-99999,99999,,,,,,,65.22,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0797,BM4B-236-B1,20260530000536,2,8,8,1216,,BM4B,,,GI37512900,BM04-B,BM236,BM-236-001,평탄도검사,"센서#3, 4 연산값",,0,,B,,-99999,99999,,,,,,,135.79,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0797,BM4B-236-B1,20260530000536,2,1,1,1216,,BM4B,,,GI37512900,BM04-B,BM236,BM-236-001,평탄도검사,평탄도검사#1,,0,,B,,0,45.85,,,mm,,,,44.75,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,1,1,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값1,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,2,2,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값2,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,3,3,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값3,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,4,4,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값4,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,5,5,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값5,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,6,6,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값6,,0,,B,,1,9999,,,㏁,,,,9999,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,7,7,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값7,,0,,B,,1,9999,,,㏁,,,,0342,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,8,8,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값8,,0,,B,,1,9999,,,㏁,,,,0369,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,9,9,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값9,,0,,B,,1,9999,,,㏁,,,,0340,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,10,10,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값10,,0,,B,,1,9999,,,㏁,,,,0314,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,11,11,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값11,,0,,B,,1,9999,,,㏁,,,,0284,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B6NP1T260529Y0799,BM4B-205-B1,20260530000536,1,12,12,1216,,BM4B,,,GI37512900,BM04-B,BM205,BM-205-001,,검사값12,,0,,B,,1,9999,,,㏁,,,,0424,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4B5NP1T260529Y0800,BM4B-230-B1,20260530000545,5,1,1,1216,-,BM4B,,,GI37512900,BM04-B,BM230,,SJH,Module Voltage,,,,B,,22.758,22.998,,,V,,,Y,22.967293,22.758~22.998,OK,,,,,,,,,,,,,,,,,,,,,20260529230919,20260529230920
BM4B5NP1T260529Y0800,BM4B-230-B1,20260530000545,5,2,2,1216,-,BM4B,,,GI37512900,BM04-B,BM230,,SJH1,Cell 1 Voltage,,,,B,,3.793,3.833,,,V,,,Y,3.827938,3.793~3.833,OK,,,,,,,,,,,,,,,,,,,,,20260529230919,20260529230920
